payment_id,order_id,paid_at,amount,method,status,transaction_reference,kind
PAY-0111,ORD-0111,2026-06-17T18:53:00+00:00,49.8,marketplace,paid,TX-10111,payment
PAY-0113,ORD-0113,2026-06-09T22:07:00+00:00,179.8,cash,paid,TX-10113,payment
PAY-0114,ORD-0114,2026-06-08T16:01:00+00:00,19.9,marketplace,paid,TX-10114,payment
PAY-0115,ORD-0115,2026-06-30T22:19:00+00:00,264.7,debit_card,paid,TX-10115,payment
PAY-0116,ORD-0116,2026-06-29T21:08:00+00:00,89.9,marketplace,paid,TX-10116,payment
PAY-0117,ORD-0117,2026-06-04T22:31:00+00:00,104.8,debit_card,paid,TX-10117,payment
PAY-0118,ORD-0118,2026-06-28T15:06:00+00:00,199.8,cash,paid,TX-10118,payment
PAY-0120,ORD-0120,2026-06-07T15:53:00+00:00,169.9,debit_card,paid,TX-10120,payment
PAY-0121,ORD-0121,2026-06-09T22:09:00+00:00,179.7,marketplace,paid,TX-10121,payment
PAY-0122,ORD-0122,2026-06-19T13:01:00+00:00,79.8,marketplace,paid,TX-10122,payment
PAY-0123,ORD-0123,2026-06-25T13:32:00+00:00,174.8,marketplace,paid,TX-10123,payment
PAY-0124,ORD-0124,2026-06-21T13:03:00+00:00,54.8,cash,paid,TX-10124,payment
PAY-0125,ORD-0125,2026-06-11T22:09:00+00:00,99.9,marketplace,paid,TX-10125,payment
PAY-0126,ORD-0126,2026-06-17T17:29:00+00:00,59.8,marketplace,paid,TX-10126,payment
PAY-0127,ORD-0127,2026-06-29T13:26:00+00:00,354.8,pix,paid,TX-10127,payment
PAY-0128,ORD-0128,2026-06-09T13:09:00+00:00,284.8,cash,paid,TX-10128,payment
PAY-0129,ORD-0129,2026-06-02T23:35:00+00:00,24.9,debit_card,paid,TX-10129,payment
PAY-0130,ORD-0130,2026-06-10T22:19:00+00:00,449.7,credit_card,paid,TX-10130,payment
PAY-0131,ORD-0131,2026-06-13T03:35:00+00:00,99.9,credit_card,paid,TX-10131,payment
PAY-0132,ORD-0132,2026-06-20T20:41:00+00:00,439.7,credit_card,paid,TX-10132,payment
PAY-0133,ORD-0133,2026-06-01T15:55:00+00:00,159.8,marketplace,paid,TX-10133,payment
PAY-0134,ORD-0134,2026-06-17T16:24:00+00:00,24.9,debit_card,paid,TX-10134,payment
PAY-0135,ORD-0135,2026-06-03T11:09:00+00:00,94.7,marketplace,paid,TX-10135,payment
PAY-0136,ORD-0136,2026-06-15T14:17:00+00:00,289.8,marketplace,paid,TX-10136,payment
PAY-0137,ORD-0137,2026-06-19T15:33:00+00:00,224.7,pix,paid,TX-10137,payment
PAY-0138,ORD-0138,2026-06-25T15:48:00+00:00,359.8,cash,paid,TX-10138,payment
PAY-0139,ORD-0139,2026-06-13T22:45:00+00:00,149.9,marketplace,paid,TX-10139,payment
PAY-0140,ORD-0140,2026-06-15T11:55:00+00:00,79.8,cash,paid,TX-10140,payment
PAY-0141,ORD-0141,2026-06-11T16:51:00+00:00,179.8,cash,paid,TX-10141,payment
PAY-0142,ORD-0142,2026-06-19T16:33:00+00:00,84.9,credit_card,paid,TX-10142,payment
PAY-0143,ORD-0143,2026-06-21T10:33:00+00:00,49.9,credit_card,paid,TX-10143,payment
PAY-0144,ORD-0144,2026-06-07T13:38:00+00:00,89.9,marketplace,paid,TX-10144,payment
PAY-0145,ORD-0145,2026-06-22T17:41:00+00:00,129.7,cash,paid,TX-10145,payment
PAY-0146,ORD-0146,2026-06-10T23:17:00+00:00,184.8,debit_card,paid,TX-10146,payment
PAY-0147,ORD-0147,2026-06-13T01:18:00+00:00,99.9,marketplace,paid,TX-10147,payment
PAY-0148,ORD-0148,2026-06-19T00:47:00+00:00,289.8,debit_card,paid,TX-10148,payment
PAY-0150,ORD-0150,2026-06-23T17:28:00+00:00,59.9,debit_card,paid,TX-10150,payment
PAY-ORPH-1,ORD-9991,2026-06-12T00:00:00+00:00,94.24,pix,paid,TX-ORPH-1,payment
PAY-ORPH-2,ORD-9992,2026-06-13T00:00:00+00:00,148.43,pix,paid,TX-ORPH-2,payment
PAY-ORPH-3,ORD-9993,2026-06-14T00:00:00+00:00,135.05,pix,paid,TX-ORPH-3,payment
PAY-REF-ORD-0001,ORD-0001,2026-06-03T09:13:00+00:00,35.92,pix,refunded,TX-REF-ORD-0001,refund
PAY-CB-ORD-0003,ORD-0003,2026-06-07T09:24:00+00:00,59.9,credit_card,charged_back,TX-CB-ORD-0003,chargeback
PAY-OVR-ORD-0004-1,ORD-0004,2026-06-19T10:59:00+00:00,68.82,pix,refunded,TX-OVR-ORD-0004-1,refund
PAY-OVR-ORD-0004-2,ORD-0004,2026-06-19T11:59:00+00:00,80.29,pix,refunded,TX-OVR-ORD-0004-2,refund
PAY-SPLIT-ORD-0006,ORD-0006,2026-06-21T23:23:00+00:00,117.92,marketplace,paid,TX-SPLIT-ORD-0006,payment
PAY-RWP-ORD-0005,ORD-0005,2026-06-16T00:00:00+00:00,269.85,pix,refunded,TX-RWP-ORD-0005,refund
PAY-PAD-0144,ORD-0145,2026-06-25T00:00:00+00:00,114.16,credit_card,pending,TX-PAD-144,payment
PAY-PAD-0145,ORD-0146,2026-06-26T00:00:00+00:00,85.87,marketplace,failed,TX-PAD-145,payment
PAY-PAD-0146,ORD-0147,2026-06-27T00:00:00+00:00,104.25,marketplace,pending,TX-PAD-146,payment
PAY-PAD-0147,ORD-0148,2026-06-28T00:00:00+00:00,102.52,pix,pending,TX-PAD-147,payment
PAY-PAD-0148,ORD-0149,2026-06-29T00:00:00+00:00,24.55,marketplace,failed,TX-PAD-148,payment
